z_0,z_1
80.259,78.1909
80.259,73.335
80.259,80.1071
80.259,73.5804
80.259,92.4005
80.259,77.6084
80.259,93.4075
80.259,77.3547
80.259,70.0154
80.259,69.3587
80.259,77.4667
80.259,78.4853
93.9389,86.2703
93.9389,96.6433
93.9389,96.9614
80.4844,82.3193
80.4844,82.6968
80.4844,83.3592
80.4844,98.9337
25.9333,22.004
25.9333,23.8484
25.9333,17.0705
25.9333,23.0686
25.9333,24.5847
25.9333,15.2665
25.9333,30.112
25.9333,24.0582
25.9333,22.6693
25.9333,10.7197
25.9333,29.1715
25.9333,23.2763
25.9333,10.4739
25.9333,9.56048
25.9333,9.14387
25.9333,27.5135
25.9333,27.6651
25.9333,35.0564
25.9333,10.5103
25.9333,24.392
23.0686,27.6651
23.0686,15.2665
23.0686,17.0705
23.0686,22.004
23.0686,27.8827
23.0686,24.392
23.0686,27.7492
23.0686,24.9869
23.0686,10.7197
23.0686,27.5135
23.0686,9.14387
23.0686,26.5313
23.0686,23.8484
23.0686,13.8644
23.0686,9.56048
23.0686,26.9197
23.0686,13.7155
23.0686,10.4739
23.0686,30.112
63.7396,57.799
63.7396,52.9256
63.7396,55.9121
63.7396,61.8548
63.7396,63.3937
63.7396,52.2435
63.7396,63.6552
63.7396,47.0179
63.7396,75.0283
63.7396,56.294
63.7396,68.7236
63.7396,55.9588
63.7396,48.7537
49.1266,52.5858
49.1266,46.7247
49.1266,45.4733
49.1266,42.3589
49.1266,41.7297
49.1266,44.5873
49.1266,60.5816
49.1266,35.1933
49.1266,65.2569
49.1266,58.6499
49.1266,56.3582
1.34038,-1.5170000000000528
1.34038,3.89177
1.34038,-0.6870000000000118
1.34038,3.38707
1.34038,2.59884
1.34038,1.99428
1.34038,1.67584
1.34038,-5.374000000000024
1.34038,-10.241999999999962
1.34038,-5.559999999999945
1.34038,-12.100000000000023
1.34038,-3.380999999999972
1.34038,4.40287
1.34038,-14.200000000000045
1.34038,-14.711000000000013
1.34038,-15.018000000000029
1.34038,3.56804
1.34038,5.03298
1.34038,7.37454
1.34038,-17.807000000000016
1.34038,2.68327
16.2351,19.6287
16.2351,13.7155
16.2351,13.8644
16.2351,21.184
16.2351,25.8065
16.2351,26.5313
16.2351,21.3897
16.2351,19.4785
16.2351,15.8126
16.2351,20.8101
16.2351,13.0596
16.2351,27.7492
16.2351,24.9869
16.2351,27.8827
16.2351,15.5875
16.2351,22.905
16.2351,24.392
16.2351,27.6651
16.2351,24.2866
16.2351,7.81691
16.2351,32.8029
16.2351,33.6108
16.2351,29.1502
16.2351,21.1296
16.2351,21.1052
16.2351,4.98347
63.6552,63.3937
63.6552,68.7236
63.6552,59.6586
63.6552,67.3755
63.6552,62.1242
63.6552,61.8548
63.6552,63.6091
63.6552,75.0283
63.6552,73.3093
63.6552,76.0559
63.6552,52.2435
63.6552,73.4724
63.6552,78.3017
63.6552,52.9256
63.6552,57.799
63.6552,78.4856
63.6552,48.7537
63.6552,49.6137
63.6552,68.2524
63.6552,80.5121
63.6552,76.003
63.6552,79.282
63.6552,55.9121
63.6552,67.1024
63.6552,53.2917
63.6552,50.1011
24.392,26.5313
24.392,27.8827
24.392,27.7492
24.392,27.6651
24.392,19.6287
24.392,32.8029
24.392,13.7155
24.392,33.6108
24.392,15.7446
24.392,13.8644
24.392,35.0564
24.392,42.7382
72.3977,74.0501
72.3977,76.4047
72.3977,76.0878
72.3977,76.7385
72.3977,72.1906
72.3977,69.7162
72.3977,67.6563
72.3977,74.8614
72.3977,86.7322
72.3977,79.9882
72.3977,77.6084
72.3977,73.933
72.3977,70.551
